label_raw,current_role,n,handles
appetizers,other,4,1
planning & floral,planner,4,2
catering saturday,catering,4,1
our one and only couple,other,4,4
catering by,catering,4,3
cover photo credits,photographer,4,4
our beautiful bride,other,4,4
emcee,other,4,4
today’s post goes out to the one,other,4,4
bridal suit,attire,4,1
embroidery,other,4,2
organizers,other,4,2
glasshouse,other,4,1
bridal attire from,attire,4,1
onsite support,other,4,1
bagpiper,other,4,3
you’re o,other,4,4
sounds by,other,4,4
bride’s outfit,attire,4,2
hair for,hair,4,2
catering & rentals,catering,4,2
travel agency,other,4,1
bag,other,4,3
non,other,4,1
catering & coordination,planner,4,3
illustrations,other,4,2
decor + lighting,rentals,4,2
first look,other,4,3
tux rentals,attire,4,2
bride’s reception gown,attire,4,3
um filme produzido por,videographer,4,1
wedding makeup,makeup,4,2
kindred team hmua,beauty_other,4,2
how to enter,other,4,4
hairpiece,hair,4,2
music & entertainment,dj,4,2
first two images,other,4,4
